Year,Name,AcresBurned,Fire Size Rank,Cause,SOURCE_REPORTING_UNIT_NAME,DaysBurn,Discovery Month,Discovered DOY,Contained Month,Contained DOY,Latitude,Longitude,County,CountyIds,State,OWNER_DESCR
2016,Tule Fire,395.0,E,NaN,,78,Aug,,Nov,313,36.1648,-118.73906,Tulare,54,CA,NaN
2016,Howard Fire,380.0,E,NaN,,3,Sep,,Sep,258,41.4657,-120.9066,Modoc,25,CA,NaN
2016,Rancho Fire,372.0,E,NaN,,1,Jun,,Jun,181,38.385,-121.003611,Amador,3,CA,NaN
2016,Hog Fire,360.0,E,NaN,,,Sep,,Sep,1,40.30594,-122.1295,Tehama,52,CA,NaN
2016,Pacheco Fire,341.0,E,NaN,,4,Jul,,Jul,198,38.08056,-120.81394,Calaveras,5,CA,NaN
2016,Appaloosa Fire,310.0,E,NaN,,6,Jul,,Jul,190,38.02845,-120.61153,Calaveras,5,CA,NaN
2016,Flat Fire,306.0,E,NaN,,2,Sep,,Sep,265,0.0,0.0,Kern,15,CA,NaN
2016,Havilah Fire,304.0,E,NaN,,,Aug,,Aug,1,35.4976,-118.5097,Kern,15,CA,NaN
2016,Butte Fire,300.0,E,NaN,,,Sep,,Sep,1,39.188321,-121.78003,Sutter,51,CA,NaN
2016,DeWolf Fire,278.0,D,NaN,,,May,,May,1,36.88286,-119.654,Fresno,10,CA,NaN
2016,Creek Fire,277.0,D,NaN,,1,Jun,,Jun,179,38.69971,-122.15457,Yolo,57,CA,NaN
2016,Tobin Fire,248.0,D,NaN,,10,Sep,,Oct,280,39.92,-121.32,Plumas,32,CA,NaN
2016,King Fire ,237.0,D,NaN,,3,Jun,,Jun,172,0.0,0.0,San Benito,35,CA,NaN
2016,Onyx Fire,221.0,D,NaN,,1,Jul,,Jul,196,35.68313,-118.21793,Kern,15,CA,NaN
2016,Washington Fire,215.0,D,NaN,,5,Sep,,Sep,271,34.75134,-120.55297,Santa Barbara,42,CA,NaN
2016,Reservoir Fire,215.0,D,NaN,,2,Jun,,Jun,180,39.12366,-122.50373,Lake,17,CA,NaN
2016,Grant Fire,211.0,D,NaN,,1,Jun,,Jun,178,37.74369,-121.58677,Alameda,1,CA,NaN
2016,Camanche Fire,210.0,D,NaN,,4,Jun,,Jun,173,38.26874,-120.90265,Amador,3,CA,NaN
2016,Big Fire,188.0,D,NaN,,2,Jul,,Jul,195,36.92244,-119.39619,Fresno,10,CA,NaN
2016,Emerald Fire,176.0,D,NaN,,3,Oct,,Oct,291,38.93449,-120.10744,El Dorado,9,CA,NaN
2016,Briggs Fire,173.0,D,NaN,,3,Jul,,Jul,197,0.0,0.0,Riverside,33,CA,NaN
2016,Athens Fire,169.0,D,NaN,,2,May,,May,140,38.8390117,-121.3090268,Placer,31,CA,NaN
2016,Sunny Fire,158.0,D,NaN,,3,Sep,,Sep,250,36.84479,-119.34487,Fresno,10,CA,NaN
2016,Wheatland Fire,156.0,D,NaN,,2,May,,May,146,34.276,-118.354,Los Angeles,19,CA,NaN
2016,Hills Fire,151.0,D,NaN,,1,Apr,,Apr,120,0.0,0.0,Fresno,10,CA,NaN
2016,Old Fire,150.0,D,NaN,,4,Sep,,Sep,261,37.75972,-120.029626,Del Norte,8,CA,NaN
2016,Holy Fire,150.0,D,NaN,,5,Aug,,Sep,249,33.6542,-117.5221,Orange,30,CA,NaN
2016,Shedd Fire,150.0,D,NaN,,,May,,May,1,35.61961,-120.39993,San Luis Obispo,40,CA,NaN
2016,Bird Fire,147.0,D,NaN,,,Aug,,Aug,1,37.62215,-121.36665,San Joaquin,39,CA,NaN
2016,Frame Fire,145.0,D,NaN,,3,Jul,,Jul,189,36.14161,-120.62048,Fresno,10,CA,NaN
2016,Maze Fire,140.0,D,NaN,,,Aug,,Aug,1,0.0,0.0,Stanislaus,50,CA,NaN
2016,Temecula Fire,139.0,D,NaN,,3,Jun,,Jun,159,33.476894,-117.140883,Riverside,33,CA,NaN
2016,Famoso Fire,138.0,D,NaN,,1,Jul,,Jul,198,35.60748,-118.94811,Kern,15,CA,NaN
2016,Avocado Fire,132.0,D,NaN,,2,May,,May,138,36.78769,-119.38248,Fresno,10,CA,NaN
2016,Bangor Fire,130.0,D,NaN,,1,Sep,,Sep,267,39.4403,-121.42647,Butte,4,CA,NaN
2016,Green Fire,123.0,D,NaN,,1,Jul,,Jul,198,37.0099,-119.5792,Fresno,10,CA,NaN
2016,Rock Creek Fire,122.0,D,NaN,,2,Aug,,Aug,220,0.0,0.0,Mono,26,CA,NaN
2016,Coe Fire,120.0,D,NaN,,2,Jun,,Jun,161,37.17072,-121.42238,Stanislaus,50,CA,NaN
2016,Sierra Fire,114.0,D,NaN,,1,Jul,,Jul,213,37.41896,-121.79669,Santa Clara,43,CA,NaN
2016,Coal Fire,112.0,D,NaN,,,Jun,,Jun,1,39.595,-121.6008,Butte,4,CA,NaN
2016,Broken Fire,103.0,D,NaN,,2,Jul,,Jul,188,37.25601,-119.65776,Madera,20,CA,NaN
2016,Cow Fire,100.0,D,NaN,,,Sep,,Sep,1,40.0,-121.93923,Shasta,45,CA,NaN
2016,Bailey Fire,100.0,D,NaN,,1,Aug,,Aug,231,0.0,0.0,Santa Clara,43,CA,NaN
2016,Hart Fire,100.0,D,NaN,,3,Aug,,Aug,220,35.24504,-118.60344,Kern,15,CA,NaN
2016,Diablo Fire,100.0,D,NaN,,1,Aug,,Aug,217,0.0,0.0,Stanislaus,50,CA,NaN
2016,Bradley Fire,100.0,D,NaN,,1,Jul,,Jul,205,35.85093,-120.81081,Monterey,27,CA,NaN
2016,Feather Fire,100.0,D,NaN,,2,Jul,,Jul,202,32.9612,-116.7945,San Diego,37,CA,NaN
2016,Mercury Fire,95.0,C,NaN,,1,Jul,,Jul,192,5487.0,-120.841536,San Benito,35,CA,NaN
2016,Dunstone Fire,91.0,C,NaN,,,May,,May,1,39.33035,-121.78973,Butte,4,CA,NaN
2016,Santos Fire,88.0,C,NaN,,4,Aug,,Aug,243,39.79547,-121.71662,Butte,4,CA,NaN
