,Year,Name,AcresBurned,Fire Size Rank,Cause,SOURCE_REPORTING_UNIT_NAME,DaysBurn,Discovery Month,Discovered DOY,Contained Month,Contained DOY,Latitude,Longitude,County,CountyIds,State,OWNER_DESCR,NOAA Station,Link,AWND,CLDD,DP10,DX90,PRCP,TAVG,TMAX,TMIN,PRCP_6M,PRCP_RS,DX90_2M,DP10_2M
21,2016,Metz Fire,3876.0,F,,,3.0,May,,May,146.0,36.38123,-121.20059,Monterey,27,CA,,USW00023233,USW00023233 2016-05-01 00:00:00,8.7,1.0,0.0,0.0,0.1,60.0,67.4,52.5,13.14,13.34,1.0,10.0
22,2016,Roberts Fire,3712.0,F,,,2.0,May,,May,141.0,0.0,0.0,San Luis Obispo,40,CA,,USW00023154,USW00023154 2016-05-01 00:00:00,9.2,0.0,2.0,0.0,0.54,49.6,65.0,34.2,8.219999999999999,10.28,0.0,9.0
23,2016,Curry Fire,2944.0,F,,,4.0,Jul,,Jul,187.0,36.0749,-120.452041,Fresno,10,CA,,USW00093209,USW00093209 2016-07-01 00:00:00,7.8,290.0,0.0,23.0,0.0,74.3,94.7,54.0,6.02,8.09,26.0,0.0
24,2016,Pony Fire,2860.0,F,,,154.0,Jun,,Nov,313.0,41.623,-123.557,Siskiyou,47,CA,,USW00024283,USW00024283 2016-06-01 00:00:00,6.3,0.0,0.0,0.0,0.11,56.6,63.6,49.6,48.41,54.17,0.0,11.0
25,2016,Clark Fire,2819.0,F,,,3.0,Aug,,Aug,220.0,0.0,0.0,Mono,26,CA,,USW00023154,USW00023154 2016-08-01 00:00:00,8.9,67.0,2.0,9.0,0.33,66.4,87.6,45.2,6.08,10.28,26.0,3.0
26,2016,Soup Complex,2652.0,F,,,26.0,Sep,,Oct,287.0,41.2649,-120.3178,Modoc,25,CA,,USW00024257,USW00024257 2016-09-01 00:00:00,5.1,329.0,0.0,21.0,0.0,75.9,92.4,59.4,17.03,37.07,58.0,0.0
27,2016,Willard Fire,2575.0,F,,,11.0,Sep,,Sep,266.0,40.3915,-120.7845,Lassen,18,CA,,USW00023225,USW00023225 2016-09-01 00:00:00,6.0,79.0,0.0,0.0,0.06,63.9,71.9,55.9,27.240000000000002,64.73,1.0,0.0
28,2016,Coleman Fire,2520.0,F,,,16.0,Jun,,Jun,172.0,36.01542,-121.25029,Monterey,27,CA,,USW00093209,USW00093209 2016-06-01 00:00:00,8.3,284.0,0.0,20.0,0.0,74.2,95.2,53.2,6.789999999999999,8.09,9.0,0.0
29,2016,Pine Fire,2304.0,F,,,,Jun,,Jun,1.0,34.701,-119.144,Ventura,56,CA,,USW00023187,USW00023187 2016-06-01 00:00:00,15.0,363.0,0.0,16.0,0.0,76.3,88.1,64.5,5.88,6.67,1.0,3.0
30,2016,Goose Fire,2241.0,F,,,10.0,Jul,,Aug,222.0,37.01591,-119.50507,Fresno,10,CA,,USW00093193,USW00093193 2016-07-01 00:00:00,7.8,589.0,0.0,30.0,0.0,84.0,100.0,68.0,9.11,13.97,31.0,1.0
31,2016,Sacata Fire,2100.0,F,,,9.0,Oct,,Oct,294.0,36.94536,-119.25959,Fresno,10,CA,,USW00093193,USW00093193 2016-10-01 00:00:00,5.8,69.0,2.0,1.0,0.67,66.4,78.7,54.1,1.4100000000000001,13.97,52.0,0.0
32,2016,Deer Fire,1785.0,F,,,7.0,Jul,,Jul,190.0,35.20993,-118.72272,Kern,15,CA,,USW00023155,USW00023155 2016-07-01 00:00:00,6.9,657.0,0.0,30.0,0.0,86.2,100.6,71.8,4.1,4.880000000000001,33.0,1.0
33,2016,Sawmill Fire,1547.0,F,,,4.0,Sep,,Sep,273.0,38.80017,-122.82895,Sonoma,49,CA,,USW00023213,USW00023213 2016-09-01 00:00:00,4.7,81.0,0.0,9.0,0.0,66.7,83.9,49.5,11.959999999999999,31.649999999999995,8.0,0.0
34,2016,Bogart Fire,1470.0,F,,,3.0,Aug,,Sep,246.0,0.0,0.0,Riverside,33,CA,,USW00023154,USW00023154 2016-08-01 00:00:00,8.9,67.0,2.0,9.0,0.33,66.4,87.6,45.2,6.08,10.28,26.0,3.0
35,2016,Dinosaur Fire,1246.0,F,,,1.0,Jun,,Jun,178.0,37.07147,-121.20155,Merced,24,CA,,USW00023277,USW00023277 2016-06-01 00:00:00,4.7,15.0,0.0,0.0,0.0,62.4,73.9,51.0,21.45,24.47,1.0,3.0
36,2016,Roblar Fire,1245.0,F,,,9.0,Jul,,Jul,212.0,33.393,-117.35093,San Diego,37,CA,,USW00003154,USW00003154 2016-07-01 00:00:00,,,,,,,,,0,0,0,0
37,2016,Sage Fire,1109.0,F,,,7.0,Jul,,Jul,198.0,34.36763,-118.57245,Los Angeles,19,CA,,USW00023130,USW00023130 2016-07-01 00:00:00,5.4,442.0,0.0,21.0,0.0,79.3,93.2,65.3,6.050000000000001,6.4799999999999995,15.0,1.0
38,2016,Marshes Fire,1080.0,F,,,8.0,Sep,,Oct,278.0,37.79635,-120.32484,Tuolumne,55,CA,,USW00023258,USW00023258 2016-09-01 00:00:00,5.8,288.0,0.0,18.0,0.0,74.5,90.4,58.6,5.62,15.370000000000001,57.0,0.0
39,2016,Saddle Fire,850.0,E,,,7.0,Sep,,Sep,256.0,39.6871,-121.571,Butte,4,CA,,USW00093205,USW00093205 2016-09-01 00:00:00,5.8,216.0,0.0,17.0,0.0,72.1,88.9,55.4,8.44,19.999999999999996,53.0,0.0
40,2016,Grade Fire,710.0,E,,,6.0,Aug,,Aug,243.0,41.7813,-122.611,Siskiyou,47,CA,,USW00024257,USW00024257 2016-08-01 00:00:00,4.7,530.0,0.0,31.0,0.0,82.1,99.5,64.7,17.94,37.07,48.0,3.0
41,2016,Marina Fire,650.0,E,,,14.0,Jun,,Jul,191.0,37.97,-119.14,Mono,26,CA,,USW00023157,USW00023157 2016-06-01 00:00:00,8.3,352.0,2.0,25.0,0.5,76.6,97.5,55.8,2.64,3.04,4.0,4.0
42,2016,Tully Fire,599.0,E,,,13.0,Aug,,Sep,248.0,41.28486,-123.82268,Humboldt,12,CA,,USW00024283,USW00024283 2016-08-01 00:00:00,4.5,0.0,0.0,0.0,0.02,56.4,62.9,49.9,18.03,54.17,0.0,2.0
43,2016,Fort Fire,554.0,E,,,2.0,Jul,,Jul,192.0,34.913,118.9082,Kern,15,CA,,USW00024283,USW00024283 2016-07-01 00:00:00,5.4,0.0,2.0,0.0,0.59,58.1,64.5,51.7,29.75,54.17,0.0,2.0
44,2016,99 Fire,550.0,E,,,1.0,Aug,,Aug,216.0,39.6708,-121.7192,Butte,4,CA,,USW00093205,USW00093205 2016-08-01 00:00:00,6.0,355.0,0.0,28.0,0.0,76.4,94.1,58.8,9.030000000000001,19.999999999999996,47.0,0.0
45,2016,Range Fire,518.0,E,,,3.0,Aug,,Aug,242.0,35.2013,-118.7212,Kern,15,CA,,USW00023155,USW00023155 2016-08-01 00:00:00,6.0,629.0,0.0,31.0,0.0,85.3,99.2,71.4,2.1500000000000004,4.880000000000001,52.0,0.0
46,2016,Colyear Fire,464.0,E,,,4.0,Jun,,Jul,186.0,40.0353,-122.56939,Tehama,52,CA,,USW00024216,USW00024216 2016-06-01 00:00:00,7.6,429.0,2.0,21.0,1.27,79.2,93.8,64.6,21.340000000000003,22.200000000000003,11.0,5.0
47,2016,Willow Fire,450.0,E,,,3.0,Aug,,Aug,244.0,38.1874,-120.6381,Calaveras,5,CA,,USW00023237,USW00023237 2016-08-01 00:00:00,7.6,330.0,0.0,26.0,0.0,75.6,93.2,58.0,7.22,16.340000000000003,46.0,0.0
48,2016,Fiddler Fire,441.0,E,,,4.0,Jul,,Jul,194.0,40.36873,-122.72913,Shasta,45,CA,,USW00024257,USW00024257 2016-07-01 00:00:00,5.8,549.0,0.0,27.0,0.0,82.7,98.4,67.0,30.630000000000003,37.07,30.0,8.0
49,2016,Beale Fire,400.0,E,,,,Aug,,Aug,1.0,36.16965,-121.38775,Yuba,58,CA,,USW00023233,USW00023233 2016-08-01 00:00:00,7.8,2.0,0.0,0.0,0.0,63.0,69.6,56.4,4.53,13.34,0.0,0.0
50,2016,Tule Fire,395.0,E,,,78.0,Aug,,Nov,313.0,36.1648,-118.73906,Tulare,54,CA,,USW00053119,USW00053119 2016-08-01 00:00:00,6.0,481.0,0.0,31.0,0.0,80.5,98.8,62.2,2.7899999999999996,8.04,52.0,0.0
51,2016,Howard Fire,380.0,E,,,3.0,Sep,,Sep,258.0,41.4657,-120.9066,Modoc,25,CA,,USW00024257,USW00024257 2016-09-01 00:00:00,5.1,329.0,0.0,21.0,0.0,75.9,92.4,59.4,17.03,37.07,58.0,0.0
52,2016,Rancho Fire,372.0,E,,,1.0,Jun,,Jun,181.0,38.385,-121.003611,Amador,3,CA,,USW00023232,USW00023232 2016-06-01 00:00:00,6.7,279.0,0.0,18.0,0.0,74.2,90.8,57.6,14.51,15.82,8.0,5.0
53,2016,Hog Fire,360.0,E,,,,Sep,,Sep,1.0,40.30594,-122.1295,Tehama,52,CA,,USW00024216,USW00024216 2016-09-01 00:00:00,6.7,327.0,0.0,20.0,0.0,75.9,91.7,60.0,9.28,22.200000000000003,56.0,0.0
54,2016,Pacheco Fire,341.0,E,,,4.0,Jul,,Jul,198.0,38.08056,-120.81394,Calaveras,5,CA,,USW00023237,USW00023237 2016-07-01 00:00:00,8.5,387.0,0.0,25.0,0.0,77.5,95.3,59.7,12.13,16.340000000000003,28.0,1.0
55,2016,Appaloosa Fire,310.0,E,,,6.0,Jul,,Jul,190.0,38.02845,-120.61153,Calaveras,5,CA,,USW00023258,USW00023258 2016-07-01 00:00:00,8.3,492.0,0.0,29.0,0.0,80.9,97.4,64.3,11.21,15.370000000000001,32.0,1.0
56,2016,Flat Fire,306.0,E,,,2.0,Sep,,Sep,265.0,0.0,0.0,Kern,15,CA,,USW00023154,USW00023154 2016-09-01 00:00:00,9.4,11.0,3.0,0.0,0.7,57.3,76.2,38.4,5.859999999999999,10.28,26.0,3.0
57,2016,Havilah Fire,304.0,E,,,,Aug,,Aug,1.0,35.4976,-118.5097,Kern,15,CA,,USW00023155,USW00023155 2016-08-01 00:00:00,6.0,629.0,0.0,31.0,0.0,85.3,99.2,71.4,2.1500000000000004,4.880000000000001,52.0,0.0
58,2016,Butte Fire,300.0,E,,,,Sep,,Sep,1.0,39.188321,-121.78003,Sutter,51,CA,,USW00093205,USW00093205 2016-09-01 00:00:00,5.8,216.0,0.0,17.0,0.0,72.1,88.9,55.4,8.44,19.999999999999996,53.0,0.0
59,2016,DeWolf Fire,278.0,D,,,,May,,May,1.0,36.88286,-119.654,Fresno,10,CA,,USW00093193,USW00093193 2016-05-01 00:00:00,7.6,209.0,1.0,9.0,0.29,71.3,84.5,58.2,13.479999999999999,13.97,2.0,8.0
60,2016,Creek Fire,277.0,D,,,1.0,Jun,,Jun,179.0,38.69971,-122.15457,Yolo,57,CA,,USW00093241,USW00093241 2016-06-01 00:00:00,6.5,302.0,0.0,20.0,0.0,75.0,92.7,57.3,19.720000000000002,21.27,9.0,6.0
61,2016,Tobin Fire,248.0,D,,,10.0,Sep,,Oct,280.0,39.92,-121.32,Plumas,32,CA,,USW00024216,USW00024216 2016-09-01 00:00:00,6.7,327.0,0.0,20.0,0.0,75.9,91.7,60.0,9.28,22.200000000000003,56.0,0.0
62,2016,King Fire ,237.0,D,,,3.0,Jun,,Jun,172.0,0.0,0.0,San Benito,35,CA,,USW00023154,USW00023154 2016-06-01 00:00:00,9.8,51.0,2.0,9.0,1.56,64.5,84.2,44.8,7.67,10.28,0.0,9.0
63,2016,Onyx Fire,221.0,D,,,1.0,Jul,,Jul,196.0,35.68313,-118.21793,Kern,15,CA,,USW00093104,USW00093104 2016-07-01 00:00:00,8.9,720.0,0.0,31.0,0.0,88.2,106.6,69.8,0.0,0.0,39.0,0.0
64,2016,Washington Fire,215.0,D,,,5.0,Sep,,Sep,271.0,34.75134,-120.55297,Santa Barbara,42,CA,,USW00023273,USW00023273 2016-09-01 00:00:00,6.3,53.0,0.0,3.0,0.0,64.1,76.2,52.0,3.84,8.76,0.0,0.0
65,2016,Reservoir Fire,215.0,D,,,2.0,Jun,,Jun,180.0,39.12366,-122.50373,Lake,17,CA,,USW00023275,USW00023275 2016-06-01 00:00:00,4.7,189.0,2.0,15.0,0.36,70.5,88.2,52.9,33.790000000000006,35.709999999999994,6.0,4.0
66,2016,Grant Fire,211.0,D,,,1.0,Jun,,Jun,178.0,37.74369,-121.58677,Alameda,1,CA,,USW00023285,USW00023285 2016-06-01 00:00:00,7.8,201.0,0.0,13.0,0.0,71.4,87.2,55.6,12.94,15.15,4.0,5.0
67,2016,Camanche Fire,210.0,D,,,4.0,Jun,,Jun,173.0,38.26874,-120.90265,Amador,3,CA,,USW00023237,USW00023237 2016-06-01 00:00:00,8.9,312.0,0.0,21.0,0.0,75.3,93.4,57.3,14.59,16.340000000000003,8.0,6.0
68,2016,Big Fire,188.0,D,,,2.0,Jul,,Jul,195.0,36.92244,-119.39619,Fresno,10,CA,,USW00093193,USW00093193 2016-07-01 00:00:00,7.8,589.0,0.0,30.0,0.0,84.0,100.0,68.0,9.11,13.97,31.0,1.0
69,2016,Emerald Fire,176.0,D,,,3.0,Oct,,Oct,291.0,38.93449,-120.10744,El Dorado,9,CA,,USW00093230,USW00093230 2016-10-01 00:00:00,7.6,0.0,7.0,0.0,7.3,46.3,59.3,33.3,4.909999999999999,20.560000000000002,0.0,0.0
70,2016,Briggs Fire,173.0,D,,,3.0,Jul,,Jul,197.0,0.0,0.0,Riverside,33,CA,,USW00023154,USW00023154 2016-07-01 00:00:00,9.8,123.0,1.0,17.0,0.17,68.3,89.8,46.9,8.020000000000001,10.28,9.0,4.0
71,2016,Athens Fire,169.0,D,,,2.0,May,,May,140.0,38.8390117,-121.3090268,Placer,31,CA,,USW00093205,USW00093205 2016-05-01 00:00:00,6.5,154.0,2.0,9.0,0.4,69.1,83.6,54.7,19.83,19.999999999999996,0.0,14.0
72,2016,Sunny Fire,158.0,D,,,3.0,Sep,,Sep,250.0,36.84479,-119.34487,Fresno,10,CA,,USW00093193,USW00093193 2016-09-01 00:00:00,5.6,336.0,0.0,21.0,0.0,76.1,91.3,60.9,4.35,13.97,61.0,0.0
73,2016,Wheatland Fire,156.0,D,,,2.0,May,,May,146.0,34.276,-118.354,Los Angeles,19,CA,,USW00023152,USW00023152 2016-05-01 00:00:00,5.4,29.0,0.0,0.0,0.02,64.2,72.7,55.7,7.25,7.6499999999999995,2.0,6.0
74,2016,Hills Fire,151.0,D,,,1.0,Apr,,Apr,120.0,0.0,0.0,Fresno,10,CA,,USW00023154,USW00023154 2016-04-01 00:00:00,10.1,0.0,7.0,0.0,1.7,44.3,58.2,30.4,8.58,10.28,0.0,3.0
75,2016,Old Fire,150.0,D,,,4.0,Sep,,Sep,261.0,37.75972,-120.029626,Del Norte,8,CA,,USW00023257,USW00023257 2016-09-01 00:00:00,5.1,222.0,0.0,18.0,0.0,72.0,90.2,53.9,6.090000000000001,14.590000000000002,58.0,0.0
76,2016,Holy Fire,150.0,D,,,5.0,Aug,,Sep,249.0,33.6542,-117.5221,Orange,30,CA,,USW00093184,USW00093184 2016-08-01 00:00:00,5.4,250.0,0.0,1.0,0.0,73.1,80.2,65.9,1.7200000000000002,4.9,4.0,0.0
77,2016,Shedd Fire,150.0,D,,,,May,,May,1.0,35.61961,-120.39993,San Luis Obispo,40,CA,,USW00093209,USW00093209 2016-05-01 00:00:00,8.1,53.0,0.0,6.0,0.0,64.3,80.4,48.3,8.03,8.09,3.0,4.0
78,2016,Bird Fire,147.0,D,,,,Aug,,Aug,1.0,37.62215,-121.36665,San Joaquin,39,CA,,USW00023237,USW00023237 2016-08-01 00:00:00,7.6,330.0,0.0,26.0,0.0,75.6,93.2,58.0,7.22,16.340000000000003,46.0,0.0
79,2016,Frame Fire,145.0,D,,,3.0,Jul,,Jul,189.0,36.14161,-120.62048,Fresno,10,CA,,USW00093209,USW00093209 2016-07-01 00:00:00,7.8,290.0,0.0,23.0,0.0,74.3,94.7,54.0,6.02,8.09,26.0,0.0
80,2016,Maze Fire,140.0,D,,,,Aug,,Aug,1.0,0.0,0.0,Stanislaus,50,CA,,USW00023154,USW00023154 2016-08-01 00:00:00,8.9,67.0,2.0,9.0,0.33,66.4,87.6,45.2,6.08,10.28,26.0,3.0
81,2016,Temecula Fire,139.0,D,,,3.0,Jun,,Jun,159.0,33.476894,-117.140883,Riverside,33,CA,,USW00003154,USW00003154 2016-06-01 00:00:00,,,,,,,,,0,0,0,0
82,2016,Famoso Fire,138.0,D,,,1.0,Jul,,Jul,198.0,35.60748,-118.94811,Kern,15,CA,,USW00023155,USW00023155 2016-07-01 00:00:00,6.9,657.0,0.0,30.0,0.0,86.2,100.6,71.8,4.1,4.880000000000001,33.0,1.0
83,2016,Avocado Fire,132.0,D,,,2.0,May,,May,138.0,36.78769,-119.38248,Fresno,10,CA,,USW00093193,USW00093193 2016-05-01 00:00:00,7.6,209.0,1.0,9.0,0.29,71.3,84.5,58.2,13.479999999999999,13.97,2.0,8.0
84,2016,Bangor Fire,130.0,D,,,1.0,Sep,,Sep,267.0,39.4403,-121.42647,Butte,4,CA,,USW00093205,USW00093205 2016-09-01 00:00:00,5.8,216.0,0.0,17.0,0.0,72.1,88.9,55.4,8.44,19.999999999999996,53.0,0.0
85,2016,Green Fire,123.0,D,,,1.0,Jul,,Jul,198.0,37.0099,-119.5792,Fresno,10,CA,,USW00093193,USW00093193 2016-07-01 00:00:00,7.8,589.0,0.0,30.0,0.0,84.0,100.0,68.0,9.11,13.97,31.0,1.0
86,2016,Rock Creek Fire,122.0,D,,,2.0,Aug,,Aug,220.0,0.0,0.0,Mono,26,CA,,USW00023154,USW00023154 2016-08-01 00:00:00,8.9,67.0,2.0,9.0,0.33,66.4,87.6,45.2,6.08,10.28,26.0,3.0
87,2016,Coe Fire,120.0,D,,,2.0,Jun,,Jun,161.0,37.17072,-121.42238,Stanislaus,50,CA,,USW00023277,USW00023277 2016-06-01 00:00:00,4.7,15.0,0.0,0.0,0.0,62.4,73.9,51.0,21.45,24.47,1.0,3.0
88,2016,Sierra Fire,114.0,D,,,1.0,Jul,,Jul,213.0,37.41896,-121.79669,Santa Clara,43,CA,,USW00023293,USW00023293 2016-07-01 00:00:00,7.8,145.0,0.0,2.0,0.0,69.7,81.7,57.7,10.209999999999999,14.6,3.0,2.0
89,2016,Coal Fire,112.0,D,,,,Jun,,Jun,1.0,39.595,-121.6008,Butte,4,CA,,USW00093205,USW00093205 2016-06-01 00:00:00,6.9,338.0,0.0,22.0,0.01,76.2,93.7,58.7,17.539999999999996,19.999999999999996,9.0,5.0
90,2016,Broken Fire,103.0,D,,,2.0,Jul,,Jul,188.0,37.25601,-119.65776,Madera,20,CA,,USW00093242,USW00093242 2016-07-01 00:00:00,7.2,471.0,0.0,30.0,0.0,80.2,98.9,61.5,8.41,12.970000000000002,31.0,0.0
91,2016,Cow Fire,100.0,D,,,,Sep,,Sep,1.0,40.0,-121.93923,Shasta,45,CA,,USW00024216,USW00024216 2016-09-01 00:00:00,6.7,327.0,0.0,20.0,0.0,75.9,91.7,60.0,9.28,22.200000000000003,56.0,0.0
92,2016,Bailey Fire,100.0,D,,,1.0,Aug,,Aug,231.0,0.0,0.0,Santa Clara,43,CA,,USW00023154,USW00023154 2016-08-01 00:00:00,8.9,67.0,2.0,9.0,0.33,66.4,87.6,45.2,6.08,10.28,26.0,3.0
93,2016,Hart Fire,100.0,D,,,3.0,Aug,,Aug,220.0,35.24504,-118.60344,Kern,15,CA,,USW00023155,USW00023155 2016-08-01 00:00:00,6.0,629.0,0.0,31.0,0.0,85.3,99.2,71.4,2.1500000000000004,4.880000000000001,52.0,0.0
94,2016,Diablo Fire,100.0,D,,,1.0,Aug,,Aug,217.0,0.0,0.0,Stanislaus,50,CA,,USW00023154,USW00023154 2016-08-01 00:00:00,8.9,67.0,2.0,9.0,0.33,66.4,87.6,45.2,6.08,10.28,26.0,3.0
95,2016,Bradley Fire,100.0,D,,,1.0,Jul,,Jul,205.0,35.85093,-120.81081,Monterey,27,CA,,USW00093209,USW00093209 2016-07-01 00:00:00,7.8,290.0,0.0,23.0,0.0,74.3,94.7,54.0,6.02,8.09,26.0,0.0
96,2016,Feather Fire,100.0,D,,,2.0,Jul,,Jul,202.0,32.9612,-116.7945,San Diego,37,CA,,USW00053120,USW00053120 2016-07-01 00:00:00,5.4,285.0,0.0,17.0,0.0,74.2,91.3,57.1,9.67,12.969999999999999,12.0,1.0
97,2016,Dunstone Fire,91.0,C,,,,May,,May,1.0,39.33035,-121.78973,Butte,4,CA,,USW00093205,USW00093205 2016-05-01 00:00:00,6.5,154.0,2.0,9.0,0.4,69.1,83.6,54.7,19.83,19.999999999999996,0.0,14.0
98,2016,Santos Fire,88.0,C,,,4.0,Aug,,Aug,243.0,39.79547,-121.71662,Butte,4,CA,,USW00024216,USW00024216 2016-08-01 00:00:00,6.0,490.0,0.0,31.0,0.0,80.8,97.4,64.2,9.69,22.200000000000003,46.0,2.0
99,2016,Flores Fire,88.0,C,,,,Jul,,Jul,1.0,40.07846,-122.2071,Tehama,52,CA,,USW00024216,USW00024216 2016-07-01 00:00:00,6.9,519.0,0.0,25.0,0.0,81.7,97.5,66.0,18.500000000000004,22.200000000000003,31.0,4.0
100,2016,Moore Fire,88.0,C,,,,Jun,,Jun,1.0,38.86804,-121.37704,Placer,31,CA,,USW00093205,USW00093205 2016-06-01 00:00:00,6.9,338.0,0.0,22.0,0.01,76.2,93.7,58.7,17.539999999999996,19.999999999999996,9.0,5.0
