,Fire Size Rank,AWND,CLDD,DP10,DX90,PRCP,TAVG,TMAX,TMIN,PRCP_6M,PRCP_RS,DX90_2M,DP10_2M,Receives Snow,Mar_SP,Mar_WC,Mar_Dens,Elevation,Apr,Aug,Dec,Feb,Jan,Jul,Jun,Mar,May,Nov,Oct,Sep
16,Very Large,5.4,0.0,4.0,0.0,3.68,41.0,55.0,27.0,1.38,14.760000000000002,0.0,0.0,1.0,8.0,3.0,0.38,6141.6576000000005,0,0,0,0,0,0,0,0,0,0,1,0
17,Very Large,5.4,0.0,4.0,0.0,3.68,41.0,55.0,27.0,1.38,14.760000000000002,0.0,0.0,1.0,87.2,28.4,0.33,5006.5008,0,0,0,0,0,0,0,0,0,0,1,0
45,Large,6.5,4.0,0.0,0.0,0.0,63.2,72.6,53.8,12.55,18.62,0.0,2.0,0.0,0.0,0.0,0.0,2536.0584000000003,0,0,0,0,0,1,0,0,0,0,0,0
66,Large,4.7,26.0,0.0,0.0,0.02,63.6,82.5,44.7,13.69,18.22,0.0,7.0,1.0,92.0,39.0,0.42,6397.56,0,0,0,0,0,1,0,0,0,0,0,0
97,Very Large,6.9,701.0,0.0,30.0,0.0,87.6,101.2,74.0,6.42,8.49,17.0,2.0,1.0,81.3,31.3,0.38,2673.8520000000003,0,0,0,0,0,1,0,0,0,0,0,0
137,Small,5.6,568.0,0.0,31.0,0.0,83.3,100.4,66.3,7.979999999999999,11.909999999999998,15.0,2.0,1.0,81.3,31.3,0.38,2309.6832,0,0,0,0,0,1,0,0,0,0,0,0
139,Medium,5.6,568.0,0.0,31.0,0.0,83.3,100.4,66.3,7.979999999999999,11.909999999999998,15.0,2.0,1.0,81.3,31.3,0.38,2319.5256,0,0,0,0,0,1,0,0,0,0,0,0
141,Small,7.4,301.0,2.0,28.0,0.58,74.6,94.8,54.4,2.34,10.05,45.0,0.0,1.0,169.9,68.5,0.4,6965.138400000001,0,1,0,0,0,0,0,0,0,0,0,0
164,Small,7.6,274.0,1.0,22.0,0.45,74.4,94.1,54.8,9.72,20.22,10.0,0.0,0.0,0.0,0.0,0.0,1656.804,0,0,0,0,0,1,0,0,0,0,0,0
178,Large,6.5,259.0,1.0,17.0,1.64,73.9,90.9,56.9,6.11,20.22,28.0,1.0,0.0,0.0,0.0,0.0,1591.188,0,1,0,0,0,0,0,0,0,0,0,0
