,AcresBurned,AWND,CLDD,DP10,DX90,PRCP,TAVG,TMAX,TMIN,PRCP_6M,PRCP_RS,DX90_2M,DP10_2M,Receives Snow,Mar_SP,Mar_WC,Mar_Dens,Elevation,Apr,Aug,Dec,Feb,Jan,Jul,Jun,Mar,May,Nov,Oct,Sep
30,279.0,5.4,98.0,0.0,1.0,0.0,68.1,78.5,57.6,5.75,20.03,0.0,0.0,0,0.0,0.0,0.0,3661.3728,0,0,0,0,0,0,0,0,0,0,0,1
31,247.0,9.4,347.0,0.0,24.0,0.0,76.2,92.0,60.4,10.52,13.21,11.0,0.0,0,0.0,0.0,0.0,623.352,0,0,0,0,0,1,0,0,0,0,0,0
32,80.0,4.3,162.0,0.0,1.0,0.0,70.2,79.2,61.2,6.9,11.14,0.0,0.0,0,0.0,0.0,0.0,757.8648000000001,0,1,0,0,0,0,0,0,0,0,0,0
33,90.0,7.6,455.0,0.0,23.0,0.0,80.1,94.7,65.6,36.36999999999999,39.34,7.0,13.0,1,159.0,65.0,0.41,889.0968,0,0,0,0,0,0,1,0,0,0,0,0
34,100.0,2.0,35.0,1.0,7.0,0.21,61.1,80.7,41.6,3.82,52.06,39.0,0.0,0,0.0,0.0,0.0,1286.0736000000002,0,0,0,0,0,0,0,0,0,0,1,0
35,34.0,6.7,625.0,0.0,31.0,0.0,85.2,102.3,68.1,4.29,4.7,28.0,0.0,1,13.0,3.0,0.23,5797.1736,0,0,0,0,0,1,0,0,0,0,0,0
36,372.0,6.7,279.0,0.0,18.0,0.0,74.2,90.8,57.6,14.51,15.82,8.0,5.0,1,1.0,0.5,0.5,295.272,0,0,0,0,0,0,1,0,0,0,0,0
37,518.0,6.0,629.0,0.0,31.0,0.0,85.3,99.2,71.4,2.1500000000000004,4.880000000000001,52.0,0.0,1,36.0,16.0,0.44,1758.5088,0,1,0,0,0,0,0,0,0,0,0,0
38,28.0,5.8,335.0,0.0,18.0,0.0,76.2,91.3,61.0,11.3,13.2,12.0,1.0,0,0.0,0.0,0.0,1833.9672,0,0,0,0,0,0,1,0,0,0,0,0
39,33.0,6.7,271.0,0.0,16.0,0.0,74.0,88.5,59.5,4.2,4.08,7.0,1.0,0,0.0,0.0,0.0,3392.3472,0,0,0,0,0,0,1,0,0,0,0,0
40,2883.0,7.4,521.0,2.0,29.0,1.52,81.8,101.1,62.5,1.34,1.2200000000000002,32.0,1.0,1,10.0,3.0,0.3,5482.2168,0,0,0,0,0,1,0,0,0,0,0,0
41,1109.0,5.4,442.0,0.0,21.0,0.0,79.3,93.2,65.3,6.050000000000001,6.48,15.0,1.0,0,0.0,0.0,0.0,1512.4488,0,0,0,0,0,1,0,0,0,0,0,0
42,150.0,5.6,103.0,0.0,0.0,0.0,65.5,73.3,57.7,29.76,56.21,0.0,0.0,1,0.0,0.0,0.0,1915.9872,0,0,0,0,0,0,0,0,0,0,0,1
43,11.0,5.6,167.0,0.0,11.0,0.0,69.9,86.1,53.7,0.49,12.66,48.0,0.0,0,0.0,0.0,0.0,1381.2168,0,0,0,0,0,0,0,0,0,0,1,0
44,114.0,6.0,607.0,0.0,28.0,0.0,84.6,98.3,70.9,2.8500000000000005,3.9300000000000006,51.0,0.0,1,13.0,3.0,0.23,2906.7888000000003,0,1,0,0,0,0,0,0,0,0,0,0
45,210.0,8.9,312.0,0.0,21.0,0.0,75.3,93.4,57.3,14.59,16.340000000000003,8.0,6.0,1,1.0,0.5,0.5,429.7848,0,0,0,0,0,0,1,0,0,0,0,0
46,40.0,10.5,272.0,0.0,14.0,0.0,73.8,89.7,57.8,11.87,15.23,21.0,1.0,0,0.0,0.0,0.0,656.1600000000001,0,0,0,0,0,1,0,0,0,0,0,0
47,23136.0,5.6,510.0,0.0,28.0,0.0,81.4,95.4,67.5,2.67,4.08,45.0,0.0,0,0.0,0.0,0.0,2910.0696000000003,0,1,0,0,0,0,0,0,0,0,0,0
48,340.0,6.5,109.0,0.0,3.0,0.0,68.3,81.6,55.0,19.71,25.28,4.0,1.0,0,0.0,0.0,0.0,1683.0504,0,0,0,0,0,1,0,0,0,0,0,0
49,24.0,6.0,420.0,3.0,21.0,2.46,78.7,93.6,63.9,36.38,37.07,12.0,7.0,1,50.5,29.5,0.58,807.0768,0,0,0,0,0,0,1,0,0,0,0,0
50,17.0,4.7,647.0,1.0,31.0,0.1,85.9,102.8,68.9,16.869999999999997,46.22,53.0,2.0,1,87.5,43.0,0.49,3490.7712,0,1,0,0,0,0,0,0,0,0,0,0
51,75.0,7.8,169.0,1.0,6.0,1.22,70.1,83.7,56.4,12.5,13.16,0.0,14.0,0,0.0,0.0,0.0,987.5208,0,0,0,0,0,0,0,0,1,0,0,0
52,40.0,7.6,296.0,0.0,18.0,0.0,74.9,92.7,57.0,13.660000000000002,17.08,3.0,4.0,0,0.0,0.0,0.0,452.7504,0,0,0,0,0,0,1,0,0,0,0,0
53,200.0,5.6,167.0,0.0,11.0,0.0,69.9,86.1,53.7,0.49,12.66,48.0,0.0,0,0.0,0.0,0.0,1669.9272,0,0,0,0,0,0,0,0,0,0,1,0
54,62.0,7.8,560.0,0.0,31.0,0.0,83.1,99.9,66.3,11.9,16.779999999999998,33.0,1.0,1,169.0,85.0,0.5,170.60160000000002,0,0,0,0,0,1,0,0,0,0,0,0
55,10.0,7.8,3.0,0.0,0.0,0.0,61.8,72.3,51.4,5.93,6.02,0.0,2.0,0,0.0,0.0,0.0,889.0968,0,0,0,0,0,0,1,0,0,0,0,0
56,850.0,5.8,216.0,0.0,17.0,0.0,72.1,88.9,55.4,8.44,20.0,53.0,0.0,0,0.0,0.0,0.0,1210.6152,0,0,0,0,0,0,0,0,0,0,0,1
57,47.0,6.5,109.0,0.0,3.0,0.0,68.3,81.6,55.0,19.71,25.28,4.0,1.0,0,0.0,0.0,0.0,321.51840000000004,0,0,0,0,0,1,0,0,0,0,0,0
58,15.0,8.7,288.0,0.0,19.0,0.0,74.6,91.2,58.0,3.69,3.69,15.0,3.0,0,0.0,0.0,0.0,-187.0056,1,0,0,0,0,0,0,0,0,0,0,0
59,410.0,4.7,641.0,0.0,31.0,0.0,85.7,103.3,68.1,28.33,46.22,36.0,3.0,1,87.5,43.0,0.49,4143.6504,0,0,0,0,0,1,0,0,0,0,0,0
60,1286.0,6.5,414.0,0.0,28.0,0.0,78.3,95.8,60.9,23.630000000000003,32.93,23.0,1.0,0,0.0,0.0,0.0,239.4984,0,0,0,0,0,1,0,0,0,0,0,0
61,215.0,4.7,189.0,2.0,15.0,0.36,70.5,88.2,52.9,33.790000000000006,35.709999999999994,6.0,4.0,0,0.0,0.0,0.0,2998.6512,0,0,0,0,0,0,1,0,0,0,0,0
62,60.0,7.4,239.0,0.0,7.0,0.0,72.7,84.4,61.0,10.06,14.99,5.0,0.0,0,0.0,0.0,0.0,216.5328,0,1,0,0,0,0,0,0,0,0,0,0
63,325.0,5.6,500.0,1.0,23.0,0.28,81.1,95.8,66.5,2.48,13.2,47.0,0.0,0,0.0,0.0,0.0,3182.376,0,1,0,0,0,0,0,0,0,0,0,0
