,Fire Size Rank,AWND,CLDD,DP10,DX90,PRCP,TAVG,TMAX,TMIN,PRCP_6M,PRCP_RS,DX90_2M,DP10_2M,Receives Snow,Mar_SP,Mar_WC,Mar_Dens,Elevation,Apr,Aug,Dec,Feb,Jan,Jul,Jun,Mar,May,Nov,Oct,Sep
1909,Small,8.1,695.0,0.0,30.0,0.0,88.2,104.6,71.8,0.22,0.39,34.0,0.0,0.0,0.0,0.0,0.0,748.0224000000001,0,0,0,0,0,0,1,0,0,0,0,0
1910,Small,5.1,42.0,0.0,4.0,0.0,62.2,78.4,46.0,1.63,18.89,40.0,0.0,0.0,0.0,0.0,0.0,95.1432,0,0,0,0,0,0,0,0,0,0,1,0
1911,Medium,5.6,44.0,1.0,0.0,0.1,64.8,75.6,54.0,1.4799999999999998,11.97,2.0,1.0,0.0,0.0,0.0,0.0,367.4496,0,0,0,0,0,0,0,0,0,0,1,0
1912,Very Large,5.8,440.0,1.0,21.0,0.28,79.7,94.7,64.7,39.81,44.38,12.0,12.0,1.0,128.0,50.0,0.39,4350.3408,0,0,0,0,0,0,1,0,0,0,0,0
1913,Large,4.3,0.0,5.0,0.0,1.13,46.9,60.5,33.2,9.93,10.8,0.0,3.0,1.0,19.5,9.0,0.46,3175.8144,0,0,0,0,0,0,0,0,1,0,0,0
1914,Medium,6.9,510.0,0.0,30.0,0.0,81.4,99.2,63.7,11.47,20.51,23.0,3.0,1.0,37.4,16.4,0.44,354.32640000000004,0,0,0,0,0,1,0,0,0,0,0,0
1915,Large,9.6,54.0,0.0,2.0,0.0,65.6,79.5,51.8,10.43,12.59,4.0,1.0,0.0,0.0,0.0,0.0,600.3864,0,0,0,0,0,0,1,0,0,0,0,0
1916,Small,7.4,288.0,0.0,19.0,0.0,74.6,92.2,57.0,12.84,14.78,8.0,0.0,1.0,19.5,9.0,0.46,708.6528000000001,0,0,0,0,0,0,1,0,0,0,0,0
1917,Medium,6.9,189.0,0.0,11.0,0.01,71.3,87.5,55.1,7.89,22.78,59.0,0.0,1.0,79.6,34.0,0.43,4944.1656,0,0,0,0,0,0,0,0,0,0,0,1
1918,Medium,5.1,211.0,0.0,12.0,0.02,71.8,87.8,55.8,4.17,5.489999999999999,18.0,0.0,0.0,0.0,0.0,0.0,3313.608,0,1,0,0,0,0,0,0,0,0,0,0
1919,Very Large,7.4,29.0,0.0,2.0,0.0,65.0,76.7,53.2,1.08,5.630000000000001,3.0,0.0,0.0,0.0,0.0,0.0,1958.6376,0,1,0,0,0,0,0,0,0,0,0,0
1920,Small,11.6,100.0,2.0,0.0,0.82,65.3,74.3,56.3,2.66,7.04,26.0,1.0,0.0,0.0,0.0,0.0,2447.4768,0,0,0,0,0,0,0,0,0,0,1,0
1921,Small,7.2,279.0,0.0,15.0,0.0,74.2,89.8,58.5,22.47,23.17,5.0,10.0,1.0,43.0,14.0,0.33,613.5096,0,0,0,0,0,0,1,0,0,0,0,0
1922,Small,3.8,467.0,0.0,31.0,0.0,80.1,97.5,62.6,19.01,30.58,37.0,5.0,1.0,60.5,20.5,0.34,1030.1712,0,1,0,0,0,0,0,0,0,0,0,0
1923,Large,4.9,10.0,3.0,2.0,1.62,60.7,77.7,43.6,0.62,7.529999999999999,34.0,0.0,0.0,0.0,0.0,0.0,449.4696,0,0,0,0,0,0,0,0,0,0,1,0
1924,Medium,6.3,266.0,0.0,21.0,0.0,73.6,90.7,56.4,4.52,9.57,39.0,2.0,1.0,68.4,24.6,0.36,6151.5,0,1,0,0,0,0,0,0,0,0,0,0
1925,Very Large,7.6,513.0,0.0,31.0,0.0,81.6,99.4,63.8,5.01,9.68,24.0,2.0,1.0,84.0,37.2,0.44,1833.9672,0,0,0,0,0,1,0,0,0,0,0,0
1926,Large,6.5,243.0,0.0,22.0,0.0,72.7,93.2,52.2,8.28,16.46,30.0,1.0,0.0,0.0,0.0,0.0,1466.5176,0,1,0,0,0,0,0,0,0,0,0,0
1927,Medium,6.7,139.0,0.0,9.0,0.0,69.1,84.4,53.7,8.38,17.64,25.0,0.0,0.0,0.0,0.0,0.0,183.7248,0,0,0,0,0,0,0,0,0,0,0,1
1928,Medium,4.3,49.0,3.0,0.0,1.46,64.1,77.7,50.5,4.79,22.880000000000003,51.0,0.0,0.0,0.0,0.0,0.0,98.424,0,0,0,0,0,0,0,0,0,0,1,0
1929,Very Large,7.6,392.0,1.0,30.0,0.25,77.6,97.5,57.8,0.57,2.88,53.0,0.0,1.0,63.8,20.3,0.32,7870.6392,0,1,0,0,0,0,0,0,0,0,0,0
1930,Very Large,7.6,587.0,0.0,30.0,0.08,83.9,100.0,67.9,10.19,12.63,33.0,2.0,1.0,43.0,14.0,0.33,1407.4632,0,0,0,0,0,1,0,0,0,0,0,0
