,Fire Size Rank,AWND,CLDD,DP10,DX90,PRCP,TAVG,TMAX,TMIN,PRCP_6M,PRCP_RS,DX90_2M,DP10_2M,Receives Snow,Mar_SP,Mar_WC,Mar_Dens,Elevation,Apr,Aug,Dec,Feb,Jan,Jul,Jun,Mar,May,Nov,Oct,Sep
30,Very Large,4.7,15.0,0.0,0.0,0.0,62.4,73.9,51.0,21.45,24.47,1.0,3.0,0,0.0,0.0,0.0,1046.5752,0,0,0,0,0,0,1,0,0,0,0,0
32,Very Large,5.4,442.0,0.0,21.0,0.0,79.3,93.2,65.3,6.050000000000001,6.48,15.0,1.0,0,0.0,0.0,0.0,1512.4488,0,0,0,0,0,1,0,0,0,0,0,0
33,Very Large,5.8,288.0,0.0,18.0,0.0,74.5,90.4,58.6,5.62,15.37,57.0,0.0,1,48.0,22.5,0.47,2286.7176,0,0,0,0,0,0,0,0,0,0,0,1
34,Very Large,5.8,216.0,0.0,17.0,0.0,72.1,88.9,55.4,8.44,20.0,53.0,0.0,0,0.0,0.0,0.0,1210.6152,0,0,0,0,0,0,0,0,0,0,0,1
35,Very Large,4.7,530.0,0.0,31.0,0.0,82.1,99.5,64.7,17.94,37.07,48.0,3.0,1,77.0,34.0,0.44,3451.4016,0,1,0,0,0,0,0,0,0,0,0,0
36,Very Large,8.3,352.0,2.0,25.0,0.5,76.6,97.5,55.8,2.64,3.04,4.0,4.0,1,65.5,25.5,0.39,7686.914400000001,0,0,0,0,0,0,1,0,0,0,0,0
37,Very Large,4.5,0.0,0.0,0.0,0.02,56.4,62.9,49.9,18.03,54.17,0.0,2.0,0,0.0,0.0,0.0,383.8536,0,1,0,0,0,0,0,0,0,0,0,0
38,Very Large,5.4,0.0,2.0,0.0,0.59,58.1,64.5,51.7,29.75,54.17,0.0,2.0,1,48.8,21.5,0.44,154.1976,0,0,0,0,0,1,0,0,0,0,0,0
39,Very Large,6.0,355.0,0.0,28.0,0.0,76.4,94.1,58.8,9.03,20.0,47.0,0.0,0,0.0,0.0,0.0,213.252,0,1,0,0,0,0,0,0,0,0,0,0
40,Very Large,6.0,629.0,0.0,31.0,0.0,85.3,99.2,71.4,2.1500000000000004,4.880000000000001,52.0,0.0,1,36.0,16.0,0.44,1758.5088,0,1,0,0,0,0,0,0,0,0,0,0
41,Very Large,7.6,429.0,2.0,21.0,1.27,79.2,93.8,64.6,21.340000000000003,22.200000000000003,11.0,5.0,1,50.5,29.5,0.58,1259.8272000000002,0,0,0,0,0,0,1,0,0,0,0,0
42,Very Large,7.6,330.0,0.0,26.0,0.0,75.6,93.2,58.0,7.22,16.340000000000003,46.0,0.0,1,1.0,0.5,0.5,1322.1624000000002,0,1,0,0,0,0,0,0,0,0,0,0
43,Very Large,5.8,549.0,0.0,27.0,0.0,82.7,98.4,67.0,30.630000000000003,37.07,30.0,8.0,1,50.5,29.5,0.58,1092.5064,0,0,0,0,0,1,0,0,0,0,0,0
44,Very Large,7.8,2.0,0.0,0.0,0.0,63.0,69.6,56.4,4.53,13.34,0.0,0.0,1,42.0,23.0,0.55,4957.2888,0,1,0,0,0,0,0,0,0,0,0,0
45,Very Large,6.0,481.0,0.0,31.0,0.0,80.5,98.8,62.2,2.79,8.04,52.0,0.0,1,36.0,16.0,0.44,4087.8768,0,1,0,0,0,0,0,0,0,0,0,0
46,Very Large,5.1,329.0,0.0,21.0,0.0,75.9,92.4,59.4,17.03,37.07,58.0,0.0,1,47.0,21.0,0.45,4717.7904,0,0,0,0,0,0,0,0,0,0,0,1
47,Very Large,6.7,279.0,0.0,18.0,0.0,74.2,90.8,57.6,14.51,15.82,8.0,5.0,1,1.0,0.5,0.5,295.272,0,0,0,0,0,0,1,0,0,0,0,0
48,Very Large,6.7,327.0,0.0,20.0,0.0,75.9,91.7,60.0,9.28,22.200000000000003,56.0,0.0,1,50.5,29.5,0.58,639.7560000000001,0,0,0,0,0,0,0,0,0,0,0,1
49,Very Large,8.5,387.0,0.0,25.0,0.0,77.5,95.3,59.7,12.13,16.340000000000003,28.0,1.0,1,1.0,0.5,0.5,954.7128,0,0,0,0,0,1,0,0,0,0,0,0
50,Very Large,8.3,492.0,0.0,29.0,0.0,80.9,97.4,64.3,11.21,15.37,32.0,1.0,1,1.0,0.5,0.5,1653.5232,0,0,0,0,0,1,0,0,0,0,0,0
51,Very Large,6.0,629.0,0.0,31.0,0.0,85.3,99.2,71.4,2.1500000000000004,4.880000000000001,52.0,0.0,1,36.0,16.0,0.44,3772.92,0,1,0,0,0,0,0,0,0,0,0,0
52,Very Large,5.8,216.0,0.0,17.0,0.0,72.1,88.9,55.4,8.44,20.0,53.0,0.0,0,0.0,0.0,0.0,183.7248,0,0,0,0,0,0,0,0,0,0,0,1
53,Very Large,7.6,209.0,1.0,9.0,0.29,71.3,84.5,58.2,13.48,13.97,2.0,8.0,1,42.0,23.0,0.55,423.2232,0,0,0,0,0,0,0,0,1,0,0,0
54,Very Large,6.5,302.0,0.0,20.0,0.0,75.0,92.7,57.3,19.72,21.27,9.0,6.0,0,0.0,0.0,0.0,1085.9448,0,0,0,0,0,0,1,0,0,0,0,0
55,Very Large,6.7,327.0,0.0,20.0,0.0,75.9,91.7,60.0,9.28,22.200000000000003,56.0,0.0,1,47.0,20.0,0.43,1889.7408,0,0,0,0,0,0,0,0,0,0,0,1
56,Very Large,8.9,720.0,0.0,31.0,0.0,88.2,106.6,69.8,0.0,0.0,39.0,0.0,1,36.0,7.5,0.21,2873.9808000000003,0,0,0,0,0,1,0,0,0,0,0,0
57,Very Large,6.3,53.0,0.0,3.0,0.0,64.1,76.2,52.0,3.84,8.76,0.0,0.0,0,0.0,0.0,0.0,403.5384,0,0,0,0,0,0,0,0,0,0,0,1
58,Very Large,4.7,189.0,2.0,15.0,0.36,70.5,88.2,52.9,33.790000000000006,35.709999999999994,6.0,4.0,0,0.0,0.0,0.0,2998.6512,0,0,0,0,0,0,1,0,0,0,0,0
59,Very Large,7.8,201.0,0.0,13.0,0.0,71.4,87.2,55.6,12.94,15.15,4.0,5.0,0,0.0,0.0,0.0,324.79920000000004,0,0,0,0,0,0,1,0,0,0,0,0
60,Very Large,8.9,312.0,0.0,21.0,0.0,75.3,93.4,57.3,14.59,16.340000000000003,8.0,6.0,1,1.0,0.5,0.5,429.7848,0,0,0,0,0,0,1,0,0,0,0,0
61,Large,7.8,589.0,0.0,30.0,0.0,84.0,100.0,68.0,9.11,13.97,31.0,1.0,1,42.0,23.0,0.55,1725.7008,0,0,0,0,0,1,0,0,0,0,0,0
62,Large,7.6,0.0,7.0,0.0,7.3,46.3,59.3,33.3,4.909999999999999,20.56,0.0,0.0,1,52.0,23.0,0.44,7211.1984,0,0,0,0,0,0,0,0,0,0,1,0
63,Large,6.5,154.0,2.0,9.0,0.4,69.1,83.6,54.7,19.83,20.0,0.0,14.0,1,1.0,0.5,0.5,124.6704,0,0,0,0,0,0,0,0,1,0,0,0
64,Large,5.6,336.0,0.0,21.0,0.0,76.1,91.3,60.9,4.35,13.97,61.0,0.0,1,42.0,23.0,0.55,1932.3912,0,0,0,0,0,0,0,0,0,0,0,1
65,Large,5.4,29.0,0.0,0.0,0.02,64.2,72.7,55.7,7.25,7.649999999999999,2.0,6.0,0,0.0,0.0,0.0,1213.896,0,0,0,0,0,0,0,0,1,0,0,0
66,Large,5.1,222.0,0.0,18.0,0.0,72.0,90.2,53.9,6.090000000000001,14.590000000000002,58.0,0.0,0,0.0,0.0,0.0,2962.5624000000003,0,0,0,0,0,0,0,0,0,0,0,1
67,Large,5.4,250.0,0.0,1.0,0.0,73.1,80.2,65.9,1.7200000000000002,4.9,4.0,0.0,0,0.0,0.0,0.0,1574.784,0,1,0,0,0,0,0,0,0,0,0,0
68,Large,8.1,53.0,0.0,6.0,0.0,64.3,80.4,48.3,8.03,8.09,3.0,4.0,0,0.0,0.0,0.0,1210.6152,0,0,0,0,0,0,0,0,1,0,0,0
69,Large,7.6,330.0,0.0,26.0,0.0,75.6,93.2,58.0,7.22,16.340000000000003,46.0,0.0,0,0.0,0.0,0.0,291.9912,0,1,0,0,0,0,0,0,0,0,0,0
70,Large,7.8,290.0,0.0,23.0,0.0,74.3,94.7,54.0,6.02,8.09,26.0,0.0,1,42.0,23.0,0.55,1952.076,0,0,0,0,0,1,0,0,0,0,0,0
72,Large,6.9,657.0,0.0,30.0,0.0,86.2,100.6,71.8,4.1,4.880000000000001,33.0,1.0,1,36.0,16.0,0.44,1207.3344,0,0,0,0,0,1,0,0,0,0,0,0
73,Large,7.6,209.0,1.0,9.0,0.29,71.3,84.5,58.2,13.48,13.97,2.0,8.0,1,42.0,23.0,0.55,1656.804,0,0,0,0,0,0,0,0,1,0,0,0
74,Large,5.8,216.0,0.0,17.0,0.0,72.1,88.9,55.4,8.44,20.0,53.0,0.0,0,0.0,0.0,0.0,764.4264000000001,0,0,0,0,0,0,0,0,0,0,0,1
75,Large,7.8,589.0,0.0,30.0,0.0,84.0,100.0,68.0,9.11,13.97,31.0,1.0,1,42.0,23.0,0.55,1174.5264,0,0,0,0,0,1,0,0,0,0,0,0
76,Large,4.7,15.0,0.0,0.0,0.0,62.4,73.9,51.0,21.45,24.47,1.0,3.0,1,1.0,0.5,0.5,1791.3168,0,0,0,0,0,0,1,0,0,0,0,0
